word,valence,arousal,dominance,aoa,category
boek,4.89,3.11,4.02,3.94,N
boeket,5.27,3.22,3.72,6.90,N
boel,3.53,4.06,4.20,6.00,N
boeman,2.40,4.89,4.75,8.00,N
boer,3.88,4.51,4.02,5.03,N
boers,3.14,3.87,3.90,7.55,A
boete,2.30,4.55,4.72,6.74,N
boeten,2.48,4.73,4.28,7.23,V
boezem,4.95,4.33,4.42,9.45,N
bof,3.60,3.56,3.87,7.75,N
boffen,5.55,4.49,4.11,7.61,V
bok,3.98,4.36,4.51,5.87,N
bokaal,4.36,3.41,3.72,7.61,N
boksen,3.47,6.03,5.39,6.13,V
bokser,3.67,5.81,5.53,6.39,N
bol,4.03,3.53,3.83,5.00,N
bolleboos,4.86,4.31,4.46,8.68,N
bom,2.08,6.22,5.78,6.06,N
bon,3.88,3.48,3.78,6.29,N
bond,4.11,3.84,4.22,8.77,N
bonk,3.35,4.48,4.48,6.90,N
bonken,3.19,5.22,5.03,6.68,V
bons,3.03,4.55,4.32,8.00,N
bont,3.09,3.70,3.72,7.58,N
boodschap,4.48,4.05,4.17,5.87,N
boog,4.14,3.97,4.19,5.90,N
boom,4.78,2.97,4.45,3.65,N
boon,4.19,3.23,3.38,5.71,N
boor,3.66,4.55,4.67,6.52,N
boord,4.03,3.42,3.98,7.06,N
boos,2.38,5.67,5.16,3.90,A
boosaardig,1.98,5.17,4.88,7.94,A
boosheid,2.31,5.55,5.16,6.71,N
boot,4.70,3.88,4.36,4.32,N
bord,4.08,3.19,3.84,4.19,N
bordeel,2.72,5.09,3.75,11.10,N
boren,3.55,5.14,4.80,6.61,V
borg,3.53,3.44,3.89,9.84,N
borrel,4.53,4.03,4.25,9.23,N
borst,4.61,3.98,4.27,5.58,N
borstel,4.09,3.41,3.70,5.16,N
bos,4.78,3.33,4.09,4.52,N
bot,2.98,3.31,4.53,6.00,N
boter,4.09,3.09,3.13,4.55,N
botsen,2.69,5.44,4.70,5.35,V
bouillon,4.50,3.09,3.55,8.55,N
bout,3.81,3.25,4.30,7.74,N
bouw,4.34,4.64,4.52,5.52,N
bouwen,4.78,5.38,4.67,4.97,V
bouwvallig,2.70,3.05,2.94,9.19,A
box,4.09,3.28,3.88,7.35,N
boycot,2.55,4.80,5.05,11.10,N
braaf,4.94,3.06,3.34,4.23,A
braden,4.38,4.42,4.22,7.35,V
braken,2.16,5.16,3.70,6.42,V
brancard,2.89,3.84,4.08,8.71,N
branche,4.09,3.83,4.14,11.06,N
brand,2.48,5.78,5.64,5.19,N
branden,2.98,5.50,5.25,5.61,V
bravo,5.56,4.55,4.70,5.10,R
