Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
coderen,3.08953278684,1.32542601887e-05,62,39,0.387096774194
nummeren,3.08737546442,4.95889465151e-08,97,61,0.587628865979
bemoeilijken,3.01030718848,2.24563995456e-05,61,38,0.0491803278689
betreuren,3.00633707493,7.79043253343e-05,53,33,0.584905660377
inspireren,3.0043598019,2.31922154818e-33,490,305,0.736734693878
infecteren,3.00101870416,3.55471115808e-07,90,56,0.644444444444
streven,2.96079410718,2.82930692484e-05,63,39,0.031746031746
slagen,2.95661395329,1.36746383133e-26,396,245,1.0
verhinderen,2.95467326815,1.72164706348e-07,97,60,0.371134020619
beschilderen,2.93108194856,3.81352835463e-05,60,37,0.633333333333
verankeren,2.92826541918,6.50684774605e-06,73,45,0.739726027397
mengen,2.91531788139,3.44994958646e-10,143,88,0.335664335664
herenigen,2.86323465678,5.93940682592e-09,126,77,0.206349206349
bevallen,2.86318637794,1.07323257775e-05,72,44,1.0
verwikkelen,2.84023057052,1.53087501982e-06,87,53,0.988505747126
begrenzen,2.81187627856,2.65000971304e-13,206,125,0.21359223301
gevangennemen,2.80173882023,5.91649178179e-15,236,143,0.275423728814
lukken,2.79497925117,1.48928296247e-18,299,181,1.0
implementeren,2.78998075361,6.33537280313e-06,81,49,0.432098765432
bestraffen,2.73301866455,0.000320195667944,55,33,0.0909090909091
beschadigen,2.72507703445,2.60420575669e-31,549,329,0.508196721311
trainen,2.69212082986,4.66475052634e-16,275,164,0.36
spreken,2.67669187613,1.21582290925e-161,3090,1838,0.0116504854369
reduceren,2.63496210321,1.85986701672e-09,159,94,0.358490566038
overdreven,2.61418457309,0.000389851514852,56,33,0.428571428571
koppelen,2.57730068764,1.53490030394e-27,536,314,0.634328358209
vermoeden,2.55629244654,4.11625327288e-09,161,94,0.0248447204969
lokaliseren,2.55080790306,0.000361571059503,60,35,0.8
verzekeren,2.53782393293,9.6441664631e-08,134,78,0.582089552239
subsidiëren,2.53496112524,0.000624473558266,55,32,0.0363636363636
genezen,2.53411446358,3.01344842762e-11,208,121,0.783653846154
liggen,2.52263399455,1.57089735903e-120,2589,1503,0.860563924295
leven,2.51418464106,3.13055304626e-24,495,287,0.010101010101
concentreren,2.51033404644,2.33810561681e-06,107,62,0.616822429907
