word;aoa;percentknown;;;;;;
vliegen;5,03;100,0;;;;;;
voelen;5,03;100,0;;;;;;
zeggen;5,03;100,0;;;;;;
schaar;5,03;100,0;;;;;;
grijs;5,03;100,0;;;;;;
blaf;5,04;98,2;;;;;;
kussen;5,04;99,8;;;;;;
keuken;5,04;100,0;;;;;;
tante;5,04;100,0;;;;;;
kaas;5,05;100,0;;;;;;
lijm;5,05;100,0;;;;;;
duimzuigen;5,05;100,0;;;;;;
mens;5,05;100,0;;;;;;
clown;5,05;99,9;;;;;;
bloemetje;5,06;100,0;;;;;;
bomen;5,06;100,0;;;;;;
fruitpap;5,06;100,0;;;;;;
hoe;5,06;100,0;;;;;;
lippen;5,06;100,0;;;;;;
verstoppertje;5,06;100,0;;;;;;
vingerverf;5,06;100,0;;;;;;
zij;5,06;100,0;;;;;;
peer;5,06;100,0;;;;;;
olifant;5,08;100,0;;;;;;
vloer;5,08;100,0;;;;;;
start;5,08;99,2;;;;;;
warmte;5,08;99,8;;;;;;
traan;5,08;100,0;;;;;;
groeien;5,09;100,0;;;;;;
lief;5,09;100,0;;;;;;
los;5,09;100,0;;;;;;
maandag;5,09;100,0;;;;;;
slecht;5,09;100,0;;;;;;
vroeg;5,09;100,0;;;;;;
winkel;5,09;100,0;;;;;;
rij;5,09;99,6;;;;;;
mouw;5,10;99,8;;;;;;
blad;5,10;99,9;;;;;;
appelsien;5,10;100,0;;;;;;
pot;5,10;100,0;;;;;;
huisdier;5,11;95,0;;;;;;
tomaat;5,11;99,8;;;;;;
lach;5,11;100,0;;;;;;
ouders;5,11;100,0;;;;;;
af;5,11;100,0;;;;;;
haren;5,11;100,0;;;;;;
mannetje;5,11;100,0;;;;;;
schooljuf;5,11;100,0;;;;;;
twaalf;5,11;100,0;;;;;;
chocolatje;5,11;90,0;;;;;;
limonade;5,11;100,0;;;;;;
telefoon;5,12;100,0;;;;;;
knop;5,12;100,0;;;;;;
aardbei;5,12;100,0;;;;;;
paars;5,12;100,0;;;;;;
snor;5,12;100,0;;;;;;
vrouw;5,13;99,4;;;;;;
put;5,13;99,6;;;;;;
beren;5,13;98,7;;;;;;
gezicht;5,14;100,0;;;;;;
hoek;5,15;100,0;;;;;;
eerste;5,15;100,0;;;;;;
mee;5,15;100,0;;;;;;
